ID	Task_duration_Pr_Slider	Working_time_Pr_Slider	mouse_dist__Pr_Slider	speed_mean__Pr_Slider	speed_sd__Pr_Slider	pos_accel_mean_Pr_Slider	pos_accel_sd_Pr_Slider	neg_accel_mean_Pr_Slider	neg_accel_sd_Pr_Slider	angle_mean__Pr_Slider	angle_sd__Pr_Slider	x_flips__Pr_Slider	y_flips__Pr_Slider	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_Slider	Working_time_Con_Slider	mouse_dist__Con_Slider	speed_mean__Con_Slider	speed_sd__Con_Slider	pos_accel_mean_Con_Slider	pos_accel_sd_Con_Slider	neg_accel_mean_Con_Slider	neg_accel_sd_Con_Slider	angle_mean__Con_Slider	angle_sd__Con_Slider	x_flips__Con_Slider	y_flips__Con_Slider	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
xO7pmm6fE4dcC04cyLPaUZh3f1r2	37.328	31.23	10565.259236487334	339.6097412109375	799.9542846679688	6.018174648284912	18.479671478271484	-5.60722541809082	14.425050735473633	7.268535684556426	19.182676630954543	26.0	89.0	1.0	3.0	2.25	3.0	2.5	1.0	35.131	24.997	9500.653842245805	380.4066162109375	821.4922485351562	7.011354446411133	20.807676315307617	-6.879643440246582	17.87851905822754	7.758755247681555	19.520318804579574	25.0	65.0	1.0	3.0	2.25	2.75	2.5	1.0	1.0	1957.0	1.0	3.0
xSMpjkSkMCbS87inb1GjAKizU9x1	56.609	43.811	9891.9846469948	226.15419006347656	478.149658203125	2.6180779933929443	6.782722473144531	-2.654639482498169	7.286888122558594	4.623056536188219	19.26102280238893	36.0	41.0	1.0	3.0	2.25	2.5	2.75	2.0	49.942	39.978	9709.14087925685	243.33688354492188	534.0347290039062	3.384230375289917	8.97558307647705	-3.389178991317749	9.095929145812988	5.314335854476035	20.35367815044456	41.0	59.0	2.0	3.0	1.75	2.5	2.75	2.0	1.0	1955.0	1.0	5.0
xXEN8ypkYfVFr5tFOcM7pteWH132	37.288	28.18	9859.16454963604	350.9223937988281	487.5672607421875	3.9846177101135254	8.185479164123535	-3.52838134765625	6.71962308883667	6.869744058421768	18.91631715837199	29.0	53.0	2.0	2.0	2.0	3.0	2.0	0.0	31.816	24.664	9552.792135353875	387.8519287109375	536.5076293945312	4.2003583908081055	8.581066131591797	-3.8061468601226807	7.2509870529174805	7.554139015135823	19.674258721842843	26.0	69.0	3.0	1.0	1.25	1.5	1.75	3.0	0.0	1952.0	1.0	2.0
xYSjGiPsBqWIYO1k6Q8HLbIdGmv1	60.728	52.374	10636.082977205248	204.46142578125	479.0884704589844	3.724381685256958	10.297954559326172	-3.6536805629730225	9.8477144241333	4.116904603510545	16.17393157155576	29.0	42.0	2.0	0.0	1.75	2.25	2.5	1.0	59.231	48.055	11350.20253800125	238.32449340820312	533.72412109375	3.9678525924682617	10.460470199584961	-3.9052352905273438	9.649723052978516	6.264005335015381	18.520129528171772	31.0	42.0	1.0	0.0	1.75	2.75	2.0	1.0	0.0	1954.0	1.0	5.0
xbUnKZ1zGVWHggk3rqj2hPcMFJp1	38.816	31.338	10564.341849473003	340.4009094238281	791.2245483398438	6.934747219085693	20.969566345214844	-6.64620304107666	20.17243194580078	4.795462228678873	19.189085758113443	33.0	35.0	1.0	2.0	2.0	2.0	2.75	1.0	52.424	30.285	9813.111812889883	325.9628601074219	670.1185302734375	6.396955966949463	16.214826583862305	-6.1496076583862305	14.187529563903809	5.616119523122823	18.92984842296542	24.0	47.0	1.0	2.0	1.5	1.75	2.75	2.0	0.0	1957.0	1.0	5.0
xkD0wGcN1sQqDmIBWErshUdEhlM2	32.985	26.431	9308.648839556583	355.0209655761719	592.1981811523438	4.980085849761963	10.917640686035156	-4.4815874099731445	9.702858924865723	5.224635623480922	21.078285380037087	25.0	27.0	1.0	3.0	3.0	4.0	2.5	0.0	31.891	24.288	10433.951423084865	430.9769592285156	734.8843994140625	6.759070873260498	14.82844066619873	-6.066403388977051	13.345698356628418	5.3151992394843335	21.64172201382835	26.0	36.0	0.0	3.0	2.5	3.75	3.0	1.0	0.0	1961.0	1.0	3.0
xxFIIRYyRjeQRdGpLAeRrbUvoca2	54.323	43.724	10789.7759166463	247.10354614257812	504.045654296875	4.08666467666626	15.532139778137207	-3.9453558921813965	14.097606658935547	5.6253498362955074	17.322379596570777	47.0	88.0	1.0	2.0	1.75	2.75	1.5	0.0	49.195	39.815	10133.718185572347	254.7440643310547	461.7484130859375	3.917703628540039	11.284249305725098	-3.7878835201263428	10.174696922302246	5.407555038668127	17.012705006212528	30.0	83.0	1.0	2.0	1.5	2.5	1.5	0.0	0.0	1959.0	1.0	2.0
xyEs0ftfWUWTkFBfheMt2uUzz9C3	42.365	34.731	9609.804811348396	278.54510498046875	705.1099243164062	3.8498899936676025	11.06814193725586	-3.878725051879883	11.3258695602417	4.515228209759449	20.37694823865474	36.0	48.0	1.0	1.0	1.75	1.5	2.5	2.0	39.322	31.604	9486.58730497948	303.0374755859375	745.0735473632812	4.517950534820557	13.239893913269043	-4.455219268798828	13.511868476867676	3.8567707643645823	19.6838345330366	26.0	40.0	0.0	2.0	1.75	1.5	2.0	2.0	1.0	1990.0	1.0	5.0
y0wBA51j3qPmBdeSAASWZgtbwqR2	41.231	35.59	10151.056399607927	285.42266845703125	652.8563232421875	4.506467819213867	15.045881271362305	-4.399807929992676	12.716598510742188	4.735088951722249	18.48044553475767	37.0	33.0	1.0	3.0	2.25	3.0	2.0	0.0	38.35	30.662	9755.354700888189	320.2151794433594	650.3605346679688	5.221482753753662	14.180416107177734	-5.000466823577881	12.65346622467041	4.699570761232387	16.27678236293038	19.0	34.0	1.0	3.0	1.75	2.0	2.0	2.0	0.0	1955.0	2.0	5.0
y15FH9omYbgEMFYDDnY5cWhnPxV2	53.904	38.847	9569.964572245659	246.52149963378906	439.293212890625	3.002894401550293	6.1052470207214355	-3.0633645057678223	5.986721992492676	6.491892178731792	18.242442422276277	22.0	36.0	0.0	3.0	2.0	2.75	2.5	1.0	53.846	45.278	11804.161744235973	260.9231262207031	522.2530517578125	3.9036450386047363	9.177942276000977	-4.032370567321777	9.809523582458496	5.85088914753908	19.221548086571765	39.0	67.0	1.0	3.0	2.25	2.0	2.75	1.0	1.0	1945.0	2.0	5.0
y2RWSA8veJOQURWDC00H8LhhIS82	41.82	34.628	9570.55598914012	279.3507385253906	699.5531616210938	5.672441005706787	21.63290786743164	-5.269591808319092	18.772701263427734	4.494003172181471	17.479239787861722	21.0	37.0	0.0	4.0	2.25	3.0	2.0	0.0	39.175	30.234	9715.425725037014	324.6591796875	836.152587890625	6.983119487762451	25.157743453979492	-6.653555393218994	18.907289505004883	4.451441217238146	18.006053127433184	27.0	37.0	0.0	4.0	2.25	3.5	1.25	0.0	1.0	1980.0	1.0	3.0
yCPGZjqEddQjRipelOCElNn1H5f2	43.736	31.085	9805.70425668194	318.2637023925781	657.7000122070312	5.163238048553467	13.037771224975586	-4.83412504196167	12.462122917175293	5.592610244070842	16.9280641277134	22.0	36.0	2.0	2.0	1.75	2.5	2.5	1.0	45.979	28.327	10555.040348340019	375.8917541503906	733.1065063476562	5.609819412231445	12.331155776977539	-5.457516193389893	12.900727272033691	7.539590946264966	20.929144936046775	29.0	39.0	2.0	2.0	0.75	1.0	1.0	2.0	0.0	1973.0	1.0	3.0
yCnPXP39YwP0KkfSnYB3FddUpt52	45.095	35.168	9318.19942375579	267.995361328125	409.35223388671875	2.5660548210144043	5.216396331787109	-2.524019718170166	5.528416156768799	3.939728074549023	16.696868770044784	19.0	30.0	0.0	3.0	2.25	3.0	2.75	1.0	46.869	35.263	9308.14500540416	264.7367858886719	379.07366943359375	2.4711251258850098	5.304738521575928	-2.3576319217681885	4.920830249786377	3.387557003803691	16.026013813362198	19.0	28.0	0.0	3.0	2.5	3.5	2.75	0.0	1.0	1959.0	2.0	3.0
yMNDBC7lmYeCMrRgPgrVG9B2w6z1	28.175	23.119	11029.897916242138	479.9781799316406	1074.0426025390625	8.37319564819336	22.87195587158203	-8.059612274169922	18.97306251525879	6.856570009694353	22.457697484023097	32.0	47.0	2.0	2.0	1.75	2.25	1.75	2.0	30.954	18.719	9747.851071627918	527.0533447265625	1080.914794921875	9.496940612792969	19.519132614135742	-9.471976280212402	20.941181182861328	6.98864168188772	25.198519526766507	24.0	25.0	3.0	2.0	1.5	1.5	2.0	1.0	1.0	1992.0	2.0	4.0
yNL64oJGMCSf8BUy19Bx55QPstt1	42.079	35.644	10542.376772303574	295.9263610839844	662.2012329101562	6.282109260559082	18.861032485961914	-6.1863837242126465	19.920080184936523	4.57122233058937	17.89499492733348	30.0	42.0	2.0	2.0	1.5	1.5	2.25	3.0	41.951	33.602	10110.163887806884	303.4718322753906	683.5863647460938	6.693166732788086	21.767423629760742	-6.338801860809326	19.58894920349121	4.9578204013105625	18.696903151597827	30.0	44.0	2.0	2.0	1.5	1.25	2.25	3.0	0.0	1967.0	2.0	2.0
yNorddSxzwOAoDRoPCPGV1SgUVo1	29.256	24.279	9507.073217617617	394.1572570800781	856.7191772460938	7.143494606018066	18.48207664489746	-6.729663848876953	17.460054397583008	5.371361405234284	21.217757024119795	21.0	47.0	1.0	3.0	2.25	3.0	2.5	1.0	26.219	21.259	9291.676250588202	441.8295593261719	886.3161010742188	7.604674339294434	18.30019760131836	-7.153290748596191	17.136558532714844	4.864780648453246	22.137635380763303	21.0	41.0	1.0	2.0	2.25	3.0	2.5	1.0	1.0	1979.0	2.0	5.0
yPOjFDYVoubv1yuwgH26LNUaaoH3	38.608	31.251	9159.682512238916	296.1423645019531	628.4202880859375	4.151695728302002	12.723736763000488	-3.7766168117523193	11.127711296081543	3.536678722362768	16.437417560737725	19.0	28.0	0.0	3.0	1.75	3.25	1.75	0.0	39.831	29.427	9401.088093550185	319.7649230957031	641.9594116210938	4.334884166717529	11.162283897399902	-4.026344299316406	10.409241676330566	4.142628031953337	15.542183238323904	21.0	25.0	0.0	3.0	1.75	3.25	1.75	0.0	1.0	1967.0	1.0	3.0
yQ3UepK4qpYxqKheQN0Hg2IjYBH2	58.044	43.572	10534.896103648909	244.96908569335938	463.23809814453125	4.256629467010498	10.848398208618164	-4.230851650238037	10.2903470993042	5.788131087681002	15.929275114410883	35.0	65.0	1.0	4.0	2.5	3.75	2.0	0.0	50.68	41.694	11748.39177360288	283.57208251953125	592.4765014648438	5.131468772888184	15.092591285705566	-5.094526290893555	13.405733108520508	6.481907496249705	17.612404213437177	30.0	90.0	0.0	4.0	3.0	2.75	2.5	0.0	0.0	1964.0	2.0	2.0
ycprhEp1QRcKDgw0LqOkfy9WXG13	39.056	30.903	11964.419046222634	389.6570739746094	857.8554077148438	7.676825523376465	17.282711029052734	-7.788573265075684	20.5946044921875	8.859102192984249	24.998268017357233	47.0	66.0	3.0	1.0	2.0	2.0	1.5	2.0	36.267	28.89	12042.864095662379	419.0279846191406	1065.411376953125	9.327444076538086	22.15384864807129	-9.203497886657715	25.239179611206055	10.063675000378183	25.61336959321456	58.0	58.0	3.0	1.0	1.25	1.25	1.75	3.0	1.0	1954.0	2.0	5.0
ykssVulMHkRi6WsMvFIdGrcaKKe2	71.848	58.506	11665.774060210839	200.44287109375	359.6191101074219	3.015019655227661	7.671530246734619	-2.940197467803955	7.710323333740234	10.473565090802222	32.662902109460695	168.0	143.0	1.0	3.0	2.5	2.5	2.75	1.0	44.613	35.309	9631.45980997042	274.0492248535156	410.0694580078125	4.322447299957275	9.84957218170166	-4.048233985900879	9.03035831451416	9.784963929546752	29.803977131231765	86.0	128.0	1.0	3.0	2.25	2.75	2.5	1.0	0.0	1951.0	2.0	4.0
ymFJIP2AIHPC4PIcMsPNEzU5MjH2	53.599	43.121	10308.55352191676	239.87327575683594	479.2509765625	3.2200827598571777	8.3206148147583	-3.2530901432037354	9.106783866882324	4.594804632394619	15.448547530094087	25.0	36.0	0.0	4.0	2.5	3.25	3.0	0.0	50.993	36.176	9312.43039261903	259.9785461425781	536.8389892578125	3.715031862258911	9.957056045532227	-3.541836977005005	9.462310791015625	5.030242483482943	15.28173078909641	21.0	36.0	0.0	4.0	2.5	3.5	2.75	0.0	1.0	1951.0	2.0	4.0
yp13o81ZrBV2mNci6Mlwc8kT9eh1	32.51	27.252	9606.321314025205	357.1786804199219	838.1644287109375	8.08884048461914	23.7253475189209	-7.925777912139893	22.82372283935547	7.767245026850949	23.224883134516624	31.0	48.0	0.0	2.0	2.25	3.25	2.0	0.0	31.69	25.402	10089.085579048528	400.8377380371094	782.7364501953125	8.656062126159668	20.58845329284668	-8.490801811218262	19.438037872314453	7.023933001558728	22.164055145682813	31.0	40.0	0.0	2.0	2.0	3.25	0.5	0.0	0.0	1970.0	2.0	4.0
