ID	Task_duration_Pr_DragDrop	Working_time_Pr_DragDrop	mouse_dist__Pr_DragDrop	speed_mean__Pr_DragDrop	speed_sd__Pr_DragDrop	pos_accel_mean_Pr_DragDrop	pos_accel_sd_Pr_DragDrop	neg_accel_mean_Pr_DragDrop	neg_accel_sd_Pr_DragDrop	angle_mean__Pr_DragDrop	angle_sd__Pr_DragDrop	x_flips__Pr_DragDrop	y_flips__Pr_DragDrop	total_dev_ideal_line__Pr_DragDrop	mean_dev_ideal_line__Pr_DragDrop	sd_dev_ideal_line__Pr_DragDrop	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_DragDrop	Working_time_Con_DragDrop	mouse_dist__Con_DragDrop	speed_mean__Con_DragDrop	speed_sd__Con_DragDrop	pos_accel_mean_Con_DragDrop	pos_accel_sd_Con_DragDrop	neg_accel_mean_Con_DragDrop	neg_accel_sd_Con_DragDrop	angle_mean__Con_DragDrop	angle_sd__Con_DragDrop	x_flips__Con_DragDrop	y_flips__Con_DragDrop	total_dev_ideal_line__Con_DragDrop	mean_dev_ideal_line__Con_DragDrop	sd_dev_ideal_line__Con_DragDrop	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
bMvwJcVvVJNag0QZ8MlRZ9jdXNu2	26.996	25.95	13032.925514459326	502.5226745605469	832.9490356445312	7.2809953689575195	15.38498592376709	-6.7012038230896	13.404810905456543	7.557848735255061	17.95388689805707	23.0	27.0	6731.48943522974	9.957824608328018	11.989802557598672	0.0	3.0	2.25	3.5	1.75	1.0	29.236	26.97	12958.362809070673	480.7406311035156	732.578125	6.95426082611084	15.125307083129883	-6.265106678009033	12.235455513000488	7.808159719766211	17.438342053671605	25.0	29.0	6910.91596358437	10.698012327529984	10.373848295615629	0.0	3.0	2.75	3.75	1.5	0.0	1.0	1979.0	2.0	5.0
bP2ZtzrePjc2KWFzvb5LTrYyrqb2	23.852	22.819	11746.589371069416	514.8626098632812	801.408935546875	7.760638236999512	14.556516647338867	-6.688326358795166	11.065082550048828	7.800683096800977	18.74583087427544	23.0	28.0	6985.507200099122	11.303409708898256	11.61715976636804	2.0	1.0	1.5	1.5	2.0	1.0	26.04	23.77	12426.270153069874	522.9911499023438	792.6616821289062	7.749009132385254	13.64086627960205	-6.93216609954834	11.722766876220703	8.306538234686196	20.497856278993048	27.0	33.0	7180.7481977560665	10.9129911820001	11.265124066791659	2.0	1.0	1.25	1.5	2.25	1.0	0.0	1979.0	2.0	4.0
bRZ7XNFXYzYn8LWe5T1K7kp81TT2	47.531	45.237	21459.651119940892	474.5086364746094	868.007568359375	8.549334526062012	19.38721466064453	-8.342547416687012	18.847091674804688	10.682152197975013	23.24938448549134	79.0	66.0	11534.34314811837	10.749620827696525	13.275056469509297	0.0	3.0	2.0	3.0	2.0	1.0	38.679	35.764	17766.40012995556	496.82330322265625	912.8775024414062	9.221707344055176	21.770301818847656	-8.961902618408203	19.973907470703125	10.475264479555026	23.816744087870646	63.0	55.0	7588.5353222626945	7.971150548595268	10.094400798397063	2.0	1.0	0.75	1.75	2.0	2.0	1.0	1962.0	1.0	5.0
bTtwI0gxVEhW1jP9UfnE8vXUB8A3	23.9	22.397	11547.995653155562	515.650634765625	936.7416381835938	9.511982917785645	20.881319046020508	-8.704679489135742	18.94565773010254	7.239238122405966	15.39098486132567	28.0	26.0	6809.337724253594	10.239605600381346	10.593294171227912	1.0	2.0	1.75	2.0	1.5	1.0	22.451	20.357	11654.532769702115	572.5635986328125	1004.4153442382812	11.009672164916992	23.573963165283203	-10.353028297424316	21.6328067779541	8.075939857224945	17.9150077199599	24.0	33.0	6763.816489661245	11.198371671624578	12.65795137676238	1.0	2.0	2.0	1.75	1.75	1.0	1.0	1990.0	1.0	4.0
bZW08uLCWLRapX24xuzA8r5VNtf2	37.591	35.72	13972.137973585413	391.2120361328125	715.55615234375	5.922942638397217	13.043996810913086	-5.69864559173584	12.312047004699707	9.13943535616192	18.010131307307574	27.0	27.0	11768.74656166241	12.375127825091914	13.179173150771334	0.0	3.0	1.5	3.25	1.75	0.0	41.471	39.35	14872.334929121209	377.99810791015625	670.454833984375	6.2383012771606445	13.891261100769043	-5.982873439788818	11.639200210571289	10.127444125873613	18.22924033689079	26.0	32.0	14068.483214898892	14.26823855466419	17.079074164238033	1.0	2.0	1.75	2.5	1.75	0.0	1.0	1964.0	1.0	4.0
bdlBv7TwK9XIQqwwBmwon4Lqbcg1	50.306	45.544	15189.993596045777	333.55279541015625	528.7495727539062	5.571690082550049	12.335344314575195	-5.435301303863525	11.085405349731445	10.179643830368798	21.029386837636277	63.0	57.0	13592.39405151022	11.412589463904467	12.63668439285693	1.0	3.0	2.25	3.5	2.5	1.0	50.454	47.047	14355.447762688318	305.17535400390625	535.1361694335938	5.275355339050293	11.451472282409668	-5.188814640045166	12.319911003112793	8.431991775983192	19.76153341356189	47.0	51.0	23825.9991010937	15.705998089053198	15.926511241642782	3.0	3.0	2.25	3.25	2.5	1.0	0.0	1950.0	1.0	4.0
blgkBlDGZVa6OM5TjvErEVdTzkG3	28.975	27.668	14180.798388844232	512.6825561523438	1009.96484375	11.030879974365234	23.541263580322266	-10.798700332641602	25.25482940673828	10.633981276158176	21.367294171656223	41.0	45.0	9295.455803325021	11.736686620359876	14.181699755134161	2.0	4.0	2.25	3.25	1.25	2.0	32.13	30.824	16387.469688704557	531.8880004882812	1041.1705322265625	10.59519100189209	24.200729370117188	-10.271120071411133	23.888429641723633	9.615622831606311	20.03718634823297	39.0	35.0	9783.207905716525	12.957891265849701	15.520571703149043	2.0	4.0	2.5	3.25	1.0	1.0	0.0	1982.0	1.0	5.0
bqpeDlDVCahnCzoWmBdqqjPhtmQ2	26.328	24.564	11481.907483653853	467.5995788574219	699.365966796875	6.848161220550537	12.963361740112305	-6.380637168884277	11.9781494140625	6.583642940330166	15.76660579128152	23.0	28.0	7596.723948852363	11.83290334712206	10.959355179344278	1.0	2.0	1.75	1.5	1.5	2.0	27.761	26.032	12418.691994035795	477.1832275390625	726.71435546875	7.094802379608154	14.759331703186035	-6.703266143798828	12.413654327392578	6.087552975795406	14.862340849335764	25.0	27.0	6272.595288499194	10.704087523036167	11.70138922847087	1.0	2.0	1.5	1.75	1.25	2.0	1.0	1968.0	1.0	3.0
bx9FGIPyQfhyayWlfwVKrmdxsvt1	28.847	27.359	12671.183029630753	463.3820495605469	731.749755859375	6.860324382781982	13.346722602844238	-6.542452335357666	12.835725784301758	8.910836280825722	18.82338505132681	37.0	35.0	6021.200633804002	8.552841809380684	9.744437786572174	0.0	2.0	2.25	3.25	1.25	1.0	30.723	28.464	13149.522414594014	462.1164245605469	789.3803100585938	7.35084867477417	15.006782531738281	-6.402995586395264	12.74604320526123	8.662515099895725	18.859886268561112	34.0	44.0	4910.260060868315	7.178742779047244	9.382354264039336	1.0	2.0	1.75	2.25	1.0	2.0	0.0	1983.0	1.0	4.0
by1NGgvgxYXiAD20SsqBVtpDuNP2	31.736	30.486	14747.162629549082	483.830810546875	709.189208984375	6.089564800262451	11.059480667114258	-5.568273544311523	9.952005386352539	6.838223165358472	19.44473422845632	33.0	29.0	4897.5240438428245	7.036672476785667	7.870461895116606	1.0	2.0	1.5	3.0	2.0	0.0	25.507	23.506	11299.689114360168	480.7355651855469	629.7612915039062	5.968791484832764	9.238292694091797	-5.566826343536377	9.086713790893555	7.4326646142667405	15.919053696365916	23.0	17.0	4976.652239843674	7.297144046691604	6.839525992187737	1.0	2.0	1.5	2.75	2.0	0.0	1.0	1961.0	2.0	3.0
