ID	Task_duration_Pr_FollowBox	Working_time_Pr_FollowBox	mouse_dist__Pr_FollowBox	speed_mean__Pr_FollowBox	speed_sd__Pr_FollowBox	pos_accel_mean_Pr_FollowBox	pos_accel_sd_Pr_FollowBox	neg_accel_mean_Pr_FollowBox	neg_accel_sd_Pr_FollowBox	angle_mean__Pr_FollowBox	angle_sd__Pr_FollowBox	x_flips__Pr_FollowBox	y_flips__Pr_FollowBox	In_target_ratio__Pr_FollowBox	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_FollowBox	Working_time_Con_FollowBox	mouse_dist__Con_FollowBox	speed_mean__Con_FollowBox	speed_sd__Con_FollowBox	pos_accel_mean_Con_FollowBox	pos_accel_sd_Con_FollowBox	neg_accel_mean_Con_FollowBox	neg_accel_sd_Con_FollowBox	angle_mean__Con_FollowBox	angle_sd__Con_FollowBox	x_flips__Con_FollowBox	y_flips__Con_FollowBox	In_target_ratio__Con_FollowBox	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
b3w2Y4l17GNnWtNJEr6Q9AEZSco2	26.682	24.973	7129.793281644341	285.6487731933594	113.55855560302734	3.1822006702423096	2.826230764389038	-3.207885503768921	2.9220173358917236	6.052908703217196	7.283247975145407	11.0	9.0	0.9	1.0	3.0	2.25	3.25	2.5	1.0	26.144	24.973	7139.618956483663	286.0424499511719	105.99964904785156	3.178762435913086	2.8465144634246826	-3.112558364868164	2.8048086166381836	5.910236195937949	6.8123151331941525	11.0	10.0	0.9441077441077441	1.0	3.0	2.0	3.0	2.25	1.0	0.0	1981.0	1.0	5.0
b6zZEHMproMZ0vetPctsgmDeIC82	25.904	24.979	6824.603550812057	273.25738525390625	285.5306091308594	6.7868266105651855	10.552254676818848	-7.343048095703125	12.070281982421875	10.704035386498342	16.034730750617282	31.0	20.0	0.21319018404907975	1.0	3.0	2.25	3.0	2.75	0.0	29.855	24.977	7247.359865124672	290.1845703125	330.8902282714844	7.925846099853516	14.148980140686035	-7.907947540283203	14.147334098815918	10.16964970067993	16.014956918836926	25.0	24.0	0.2848344880677444	1.0	3.0	2.25	3.0	2.75	1.0	0.0	1964.0	2.0	4.0
b8LNjlTADhUhC58U2wAmsK3Cz7o1	28.702	24.955	8076.401694225207	323.76837158203125	364.9482727050781	4.911740303039551	7.708608627319336	-5.110211372375488	8.042747497558594	7.981492326988768	15.637573719005534	34.0	35.0	0.29927667269439423	0.0	3.0	2.5	3.5	2.5	0.0	27.622	24.957	7692.4472409864775	308.3763122558594	295.73052978515625	3.957700252532959	5.628148078918457	-3.9888787269592285	5.779757022857666	7.470008226249558	13.377724698802274	23.0	29.0	0.4325889164598842	0.0	2.0	2.25	3.25	2.5	0.0	1.0	1945.0	1.0	3.0
bBWFS6m5gAe5KwkFgNYefAWZ79y1	25.913	24.998	7254.40740833931	290.29241943359375	223.9058837890625	3.678349256515503	4.60927677154541	-3.6254942417144775	4.336017608642578	7.6131656675936155	11.714884962663291	17.0	14.0	0.40284842319430314	2.0	3.0	2.0	2.75	2.25	0.0	26.449	24.997	7310.419482827618	292.5338134765625	219.78985595703125	3.488457441329956	4.458012104034424	-3.4291744232177734	4.333827495574951	8.463281251865286	12.56251701428454	17.0	12.0	0.40711847879083374	2.0	2.0	1.5	2.25	2.75	2.0	0.0	1954.0	2.0	4.0
bDvxyMZPGtQwUO9Tak1jwa5ZHHg2	25.881	25.01	7251.724840131109	290.0110168457031	222.04647827148438	3.780390739440918	5.196856498718262	-3.8783843517303467	5.586145401000977	9.660417121247212	15.192715784282061	21.0	24.0	0.41529235382308843	3.0	0.0	1.25	1.25	1.5	3.0	26.002	25.01	7021.018398099125	280.7845764160156	221.06158447265625	3.6512763500213623	4.268768787384033	-3.575377941131592	3.954449415206909	9.403595123359247	15.479550310408882	27.0	28.0	0.33465542885473476	3.0	0.0	1.0	1.0	1.75	4.0	0.0	1963.0	1.0	3.0
bKxFV6OVHdYKe69kMQb11cHm3RY2	27.853	25.132	7058.921889828335	280.9521179199219	157.67550659179688	4.391339302062988	4.399552345275879	-4.501088619232178	4.452223300933838	7.69876225946509	8.389059775165505	31.0	16.0	0.728952772073922	1.0	2.0	2.25	3.0	1.75	2.0	26.35	25.032	7191.155476505055	287.4162902832031	159.22727966308594	4.8719682693481445	4.743565559387207	-4.65498685836792	4.692854404449463	8.038769507687908	9.219914174504035	22.0	17.0	0.7144827586206897	2.0	2.0	2.5	3.0	1.75	2.0	0.0	1970.0	2.0	3.0
bMvwJcVvVJNag0QZ8MlRZ9jdXNu2	27.54	24.733	7101.494828560365	287.2773132324219	145.91673278808594	4.1497392654418945	4.199576377868652	-4.018752098083496	4.382068157196045	7.169127928073163	8.191663342811717	10.0	11.0	0.8	0.0	3.0	2.25	3.5	1.75	1.0	26.706	24.966	7094.608496343943	284.2391357421875	127.30097198486328	3.529402256011963	3.3799431324005127	-3.806403636932373	3.6409080028533936	6.789721577597288	9.02928439338634	12.0	12.0	0.8239726027397261	0.0	3.0	2.75	3.75	1.5	0.0	1.0	1979.0	2.0	5.0
bP2ZtzrePjc2KWFzvb5LTrYyrqb2	25.825	25.004	6985.5432301516	279.5335388183594	151.53306579589844	3.608243227005005	3.5194711685180664	-3.64599347114563	3.55430006980896	7.483482587099166	8.95621418499551	13.0	14.0	0.535438596491228	2.0	1.0	1.5	1.5	2.0	1.0	26.057	25.004	7143.671496587276	285.8612060546875	190.85902404785156	3.904862403869629	4.821523666381836	-3.6446003913879395	4.111618518829346	7.939407871068469	11.76431062168359	24.0	17.0	0.6810584958217271	2.0	1.0	1.25	1.5	2.25	1.0	0.0	1979.0	2.0	4.0
bRZ7XNFXYzYn8LWe5T1K7kp81TT2	25.889	25.009	7578.186066392465	303.0668640136719	285.53704833984375	4.425760746002197	5.231204032897949	-4.618336200714111	5.74134635925293	10.273971103230979	18.309787015327874	42.0	45.0	0.3985784581738655	1.0	2.0	2.0	3.0	2.0	1.0	25.759	25.008	7267.388599782607	290.637451171875	284.540771484375	4.172067165374756	5.767784118652344	-4.1961750984191895	5.531682968139648	8.851686293188553	17.094922756219383	31.0	28.0	0.4202185792349727	1.0	2.0	0.75	1.75	2.0	2.0	1.0	1962.0	1.0	5.0
bTtwI0gxVEhW1jP9UfnE8vXUB8A3	26.208	24.956	7099.256427657354	284.59637451171875	261.1645812988281	5.876754283905029	7.438453674316406	-5.9451141357421875	8.145570755004883	7.788152954730449	12.379394594269725	25.0	22.0	0.44636963696369636	2.0	1.0	1.75	2.0	1.5	1.0	26.088	24.97	7193.804028037919	288.21331787109375	250.7938232421875	5.706308364868164	7.745275497436523	-5.649084091186523	6.978466033935547	7.199125379324421	11.950228762103432	15.0	21.0	0.48518204911092294	2.0	1.0	2.0	1.75	1.75	1.0	1.0	1990.0	1.0	4.0
