ID	Task_duration_Pr_PointClick	Working_time_Pr_PointClick	mouse_dist__Pr_PointClick	speed_mean__Pr_PointClick	speed_sd__Pr_PointClick	pos_accel_mean_Pr_PointClick	pos_accel_sd_Pr_PointClick	neg_accel_mean_Pr_PointClick	neg_accel_sd_Pr_PointClick	angle_mean__Pr_PointClick	angle_sd__Pr_PointClick	x_flips__Pr_PointClick	y_flips__Pr_PointClick	total_dev_ideal_line__Pr_PointClick	mean_dev_ideal_line__Pr_PointClick	sd_dev_ideal_line__Pr_PointClick	Pr_valence	Pr_arousal	Pr_MDBF_GS	Pr_MDBF_RU	Pr_MDBF_WM	Pr_stress	Task_duration_Con_PointClick	Working_time_Con_PointClick	mouse_dist__Con_PointClick	speed_mean__Con_PointClick	speed_sd__Con_PointClick	pos_accel_mean_Con_PointClick	pos_accel_sd_Con_PointClick	neg_accel_mean_Con_PointClick	neg_accel_sd_Con_PointClick	angle_mean__Con_PointClick	angle_sd__Con_PointClick	x_flips__Con_PointClick	y_flips__Con_PointClick	total_dev_ideal_line__Con_PointClick	mean_dev_ideal_line__Con_PointClick	sd_dev_ideal_line__Con_PointClick	Co_valence	Co_arousal	Co_MDBF_GS	Co_MDBF_RU	Co_MDBF_WM	Co_stress	condition	jahr	sex	schule
uU0ElIDhFaPMhvu5LbwuiheOr0A2	16.947	14.644	3933.4925423817976	272.8749694824219	509.5108642578125	5.124395847320557	12.449362754821777	-4.530897617340088	10.00870418548584	7.581631422053913	17.496390444097663	19.0	14.0	5899.153008858278	8.700815647283596	12.239565926174595	1.0	3.0	2.0	2.25	1.75	2.0	18.263	14.442	3683.27083880387	261.22491455078125	508.7622375488281	4.784428119659424	11.792905807495117	-4.503509521484375	10.114962577819824	6.798882678215487	15.575905516224351	13.0	10.0	4368.360708172665	6.772652260732814	8.507404562026242	1.0	3.0	1.75	2.25	2.0	2.0	1.0	1970.0	2.0	3.0
uhT2IP3XwOVZXqSAwxfQbVXx5pN2	26.686	21.606	4004.2422156579464	188.52365112304688	400.29534912109375	5.141134262084961	13.448928833007812	-4.9859843254089355	13.20405387878418	7.961107837619668	19.386757765157814	24.0	20.0	9261.364528269467	10.719171907719291	13.515250312906357	0.0	3.0	2.25	3.0	2.25	0.0	25.26	20.443	3892.484385631653	194.67288208007812	405.45947265625	4.322999000549316	11.566147804260254	-4.323519706726074	11.538484573364258	8.047306160056626	20.144158881556578	24.0	18.0	7400.18991295476	9.169999892137248	10.525999575450992	0.0	3.0	2.25	2.75	2.25	1.0	1.0	1943.0	2.0	3.0
ulQIwk6IBLTOaqenlkYbtzY7bNw2	19.527	17.275	4355.4147685442385	257.1842346191406	491.0957946777344	5.210239410400391	12.877718925476074	-5.274158000946045	12.85049057006836	10.451495703457576	22.986601970751263	36.0	35.0	7980.552278143048	8.517131566854907	9.525907483463133	2.0	3.0	2.25	3.5	3.0	0.0	19.355	16.077	3977.9336482155013	255.48709106445312	429.5569152832031	4.618770122528076	9.98133373260498	-4.667896747589111	9.757737159729004	9.425032444817706	19.912296754975742	31.0	20.0	8185.248412547543	9.957723129619882	11.539127522760275	2.0	3.0	2.75	4.0	3.0	0.0	1.0	1962.0	2.0	5.0
upivC614PaZzlUIOnMRGS2pCi0J2	40.262	34.301	3697.7412722008276	110.29802703857422	265.53173828125	1.583807110786438	5.668650150299072	-1.488958477973938	4.42591667175293	5.367869502116819	16.112330590976143	16.0	15.0	9521.24436132481	8.898359216191412	9.648219594202894	0.0	4.0	2.25	3.75	1.25	0.0	31.542	25.5	3691.360034991651	149.05552673339844	316.09112548828125	2.3226516246795654	8.483393669128418	-2.1013059616088867	5.889599800109863	7.135430072633838	17.906393692734678	17.0	10.0	6541.748845788434	7.133859155712578	8.313737629480238	0.0	3.0	2.0	3.5	1.25	0.0	1.0	1962.0	2.0	4.0
uv69r9pI9bhaxjSyrfzWZJzxKgT2	17.004	14.743	4904.123022397283	335.3246765136719	549.6492309570312	4.941072463989258	13.934624671936035	-4.764902114868164	12.547983169555664	6.463775308873927	18.015561797124736	29.0	20.0	9915.093586475488	14.124064937999272	16.779754379291216	0.0	3.0	2.25	3.25	1.75	0.0	16.289	13.684	4325.732151276582	319.0068054199219	593.8103637695312	6.504179000854492	16.265575408935547	-6.474851608276367	16.566404342651367	8.091017608925771	19.367794538598353	19.0	17.0	9060.966196922356	14.004584539292669	19.973427102541105	0.0	3.0	2.5	3.25	1.75	0.0	1.0	1967.0	1.0	4.0
uwKCRtliOafbPDciBNwwnUnUHZG3	18.613	15.876	3994.6226395165113	253.86862182617188	403.7069091796875	4.760047912597656	10.857199668884277	-4.493464469909668	9.63803768157959	8.935608056926606	20.27460651117752	20.0	17.0	8935.663221779541	12.29114610973802	14.907661759607624	0.0	3.0	2.0	2.75	1.75	2.0	21.52	16.122	3949.07764572381	249.7835693359375	404.5954284667969	4.523438453674316	10.12657642364502	-4.178140640258789	9.141358375549316	9.427217889256644	18.533621807723247	23.0	20.0	8209.757783514397	10.223857762782561	12.272462857775635	2.0	2.0	1.5	2.25	2.0	3.0	1.0	1985.0	1.0	5.0
v5d0kHGthkb8AVn5j8gAtBtMcbj1	24.969	20.729	4106.198500402669	204.4410400390625	405.66943359375	4.43681001663208	10.725848197937012	-4.361552715301514	10.60887622833252	8.57601362161553	23.81336482603269	33.0	32.0	8124.692296231526	8.86975141509992	14.472962674680781	0.0	3.0	1.75	2.0	1.75	1.0	29.036	23.152	4316.945537554906	189.7141571044922	453.7646179199219	3.958146810531616	12.017393112182617	-3.881958246231079	11.039088249206543	7.614147378765514	21.27853036501873	25.0	21.0	10529.836239637634	9.188338778043311	14.45786568108491	3.0	2.0	1.25	1.25	2.25	2.0	1.0	1957.0	1.0	2.0
v6qQbtvVXcUGjuqwYkWZDRxdjIT2	19.136	15.954	3936.0609035837933	252.554443359375	531.9169921875	4.64471435546875	12.92361831665039	-4.6039605140686035	12.489069938659668	8.104987944043986	20.170692175841946	20.0	16.0	6441.183307847325	8.896662027413432	10.568750104805424	0.0	4.0	2.75	4.0	3.0	0.0	21.517	17.171	3847.349921016048	229.41860961914062	505.93743896484375	4.339441776275635	12.493480682373047	-4.172408103942871	11.378582000732422	6.638434629095103	17.708645592521183	20.0	16.0	5834.544405414024	7.800193055366343	9.35710166451562	0.0	4.0	3.0	3.75	2.5	0.0	0.0	1949.0	2.0	2.0
vBMC7c1ZnbVEReDDLV4cZESFSUs1	23.832	18.008	3985.168114419728	229.2302703857422	454.2920227050781	3.517575979232788	8.88167953491211	-3.318451166152954	7.49306583404541	6.015806440707102	17.438818605048862	21.0	16.0	7547.530805139567	11.575967492545347	13.706490628422149	1.0	2.0	2.0	2.5	2.5	1.0	30.667	21.626	4112.301842168388	190.38433837890625	373.6166076660156	2.881373405456543	8.13242244720459	-2.70279598236084	6.641228675842285	5.470397376689105	16.924068671521166	22.0	23.0	12269.8253688408	14.659289568507527	27.849226902112616	2.0	2.0	1.75	2.25	2.5	2.0	1.0	1953.0	2.0	5.0
vJYAOix6ljZ7nZ1zDwuXCrQakKf1	27.344	23.806	4320.998095328463	183.95054626464844	388.3555908203125	3.056717872619629	9.342779159545898	-2.9987823963165283	7.91171932220459	6.939299288509351	18.498277299393333	24.0	22.0	13127.036756954236	12.2682586513591	21.7371099483415	1.0	2.0	2.5	3.75	3.0	0.0	30.294	24.317	5031.128286091041	215.83563232421875	447.69854736328125	4.320122241973877	11.43608283996582	-4.104371547698975	11.886151313781738	8.483162839078458	19.844692464263765	37.0	27.0	16767.812788837044	14.708607709506179	20.706137527255898	1.0	2.0	2.5	3.75	3.0	0.0	0.0	1952.0	1.0	4.0
